subject_id,trial_id,age,gender,total_distance,rt,is_valid,trial_type,trial_order_of_appearance,correct_targets_touches,wrong_targets_touches,speed_threshold,mean_speed,std_speed,peak_speed,mean_acceleration,std_acceleration,peak_acceleration,hesitation_distance,hesitation_time,invalid_cause,non_cut_zigzag_amplitude,non_cut_total_distance,non_cut_rt,non_cut_mean_speed,non_cut_std_speed,non_cut_peak_speed,non_cut_mean_acceleration,non_cut_std_acceleration,non_cut_peak_acceleration,non_cut_mean_abs_acceleration,non_cut_std_abs_acceleration,non_cut_peak_abs_acceleration,non_cut_mean_negative_acceleration,non_cut_std_negative_acceleration,non_cut_peak_negative_acceleration,non_cut_hesitation_time,non_cut_travel_time,non_cut_search_time,non_cut_hesitation_distance,non_cut_travel_distance,non_cut_search_distance,non_cut_hesitation_avg_speed,non_cut_travel_avg_speed,non_cut_search_avg_speed,non_cut_state_transitions,non_cut_hesitation_ratio,non_cut_total_hesitations,non_cut_average_duration,non_cut_max_duration,non_cut_hesitation_periods,non_cut_correct_targets_touches,non_cut_wrong_targets_touches,non_cut_number_of_crosses,non_cut_distance_difference_from_ideal,non_cut_area_difference_from_ideal,non_cut_intra_target_time,non_cut_inter_target_time,zigzag_amplitude,mean_abs_acceleration,std_abs_acceleration,peak_abs_acceleration,mean_negative_acceleration,std_negative_acceleration,peak_negative_acceleration,travel_time,search_time,travel_distance,search_distance,hesitation_avg_speed,travel_avg_speed,search_avg_speed,state_transitions,hesitation_ratio,total_hesitations,average_duration,max_duration,hesitation_periods,number_of_crosses,distance_difference_from_ideal,area_difference_from_ideal,intra_target_time,inter_target_time
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_0,35,M,0.0,2536,False,PART_A,0,,,0.2797112353835603,,,,,,,,,CUT_CRITERIA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_1,35,M,0.0,24990,False,PART_B,1,,,0.2797112353835603,,,,,,,,,CUT_CRITERIA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_2,35,M,896.1442167368149,11334,True,PART_A,2,8.0,0.0,0.2797112353835603,0.1619396261091017,0.10104339627350939,0.5916238821477974,0.0027020571583300074,0.01570209664760015,0.10183939374593244,401.59146686911345,3497.0,,,2588.9582003431638,21871.0,0.1819131935461378,0.11719670259157199,1.2841833868841437,0.0028148222183629035,0.024498044824531263,0.6420916934420718,0.011727640858756131,0.021691930855361082,0.6420916934420718,-0.008946367518587933,0.010918121416777525,-0.13514201992438651,7811.0,2397.0,10335.0,1021.8703149620304,565.2543850066587,1001.8335003744726,0.1693880595728932,0.2556980819024855,0.1642008071751901,60.0,0.7651841692789969,21.0,371.95238095238096,1039.0,"[343, 238, 176, 258, 1039, 672, 771, 639, 232, 481, 383, 288, 173, 382, 333, 163, 599, 244, 272, 69, 56]",19.0,0.0,,18.673203204677122,1135.9870535789285,1098.0,866.0,,0.01029949844977518,0.012156368030811545,0.10183939374593244,-0.007559070375831813,0.008891995877895319,-0.06107670509557136,637.0,4395.0,141.82957741060736,352.72317245709297,0.15611811223037234,0.23324789042195732,0.14673526007282273,21.0,0.8459119496855346,7.0,499.57142857142856,1039.0,"[343, 238, 176, 258, 1039, 672, 771]",,17.69581193929199,728.3585906496891,1202.4285714285713,199.0
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_3,35,M,1115.699198587501,14636,True,PART_B,3,8.0,0.0,0.2797112353835603,0.1727853661684176,0.11809178349362222,1.183247764295581,0.0022442392765809316,0.017499516379093815,0.12317169993841004,631.8927284514116,4042.0,,-1447.8,1816.299325700378,24474.0,0.16582061058521239,0.11254558586704055,1.183247764295581,0.0020491211448249577,0.017169077070855583,0.22762951261060002,0.0098659924618442,0.014199940058816482,0.22762951261060002,-0.007856753313534649,0.010914277398355541,-0.11661974645511743,7111.0,1014.0,14600.0,975.5701412804856,219.61287870958958,621.1163057102941,0.17950254831114967,0.24587527473255555,0.1288431409721136,33.0,0.8752,11.0,646.4545454545455,2168.0,"[313, 500, 889, 187, 208, 592, 1108, 245, 608, 293, 2168]",11.0,0.0,,31.768476743292844,2464.132718521647,1757.7,5236.0,-1910.3333333333333,0.010569944035935173,0.014126073994918751,0.12317169993841004,-0.008408961806947784,0.011619732775309604,-0.11661974645511743,466.0,7858.0,101.0814319303491,382.7250382057331,0.19337136630861526,0.24961707763158597,0.1316565400310542,23.0,0.8966282165039929,8.0,505.25,1108.0,"[313, 500, 889, 187, 208, 592, 1108, 245]",,21.665181767939934,1075.7067763117316,1750.0,204.0
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_4,35,M,1254.6840221271993,10733,True,PART_A,4,8.0,0.0,0.2797112353835603,0.22068133208840524,0.17255293096588975,2.4214795748494944,0.0015941544284779185,0.021358918388211162,0.18954935265711384,473.59678246587214,2690.0,,,2852.708423752295,24372.0,0.19310478958637275,0.18032255580999915,4.594434226551851,0.001696752496700569,0.03185797981795272,0.9026430671112463,0.011535575969389126,0.02974458495542667,0.9026430671112463,-0.00972155501651825,0.02280053628378472,-0.5391427918912888,9219.0,2602.0,10458.0,1337.6209709243444,698.8388224430879,816.2486303848556,0.17786525794666952,0.30628028043872285,0.1555971508099326,48.0,0.7798832586075628,16.0,576.1875,2449.0,"[137, 271, 594, 620, 761, 36, 271, 611, 250, 404, 284, 1382, 241, 417, 2449, 491]",16.0,0.0,,43.65082230896192,2747.5621994806506,1413.4666666666667,1108.0,,0.012674425707091975,0.017265678557517126,0.18954935265711384,-0.01109671085024405,0.01553027961876008,-0.1891780917851166,1591.0,3789.0,422.2371586293636,358.8500810319637,0.1995991788094348,0.30981202181117706,0.17957843017679126,22.0,0.628357860313011,7.0,384.2857142857143,761.0,"[137, 271, 594, 620, 761, 36, 271]",,25.130287435356916,1442.514457771702,1142.7142857142858,102.0
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_5,35,M,986.8130396314872,11928,True,PART_B,5,8.0,0.0,0.2797112353835603,0.1599558277819815,0.1170452330531639,0.9746266919474278,0.0012723478072166018,0.015207957642453727,0.1746206156405809,417.7402116427979,4273.0,,-2801.0,1517.1024838056885,24767.0,0.17563608458958332,0.12555759070055209,1.1644521454734433,0.0015838323565834024,0.01776426235193304,0.1746206156405809,0.010170391595544653,0.014650620349846653,0.1746206156405809,-0.008830282536137006,0.011061677946033438,-0.09222338627866067,5342.0,1391.0,16463.0,550.0437946091786,377.1147340474335,589.9439551490764,0.15775886157891678,0.29381473276282627,0.14572278782801762,28.0,0.7934056141393139,8.0,667.75,2334.0,"[2334, 103, 536, 292, 521, 247, 240, 1069]",11.0,0.0,,25.80495349527974,1713.3513621135487,2132.0,1995.0,-1789.0,0.008629648466183965,0.012586898424444536,0.1746206156405809,-0.007426709155750075,0.009739856415374436,-0.06510545880321991,760.0,5092.0,202.24181674699628,366.8310112416923,0.15652724590345782,0.28360797719904174,0.12280277576487922,21.0,0.8489966222928671,7.0,610.4285714285714,2334.0,"[2334, 103, 536, 292, 521, 247, 240]",,25.33917173397801,1704.144577450925,1431.2857142857142,225.0
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_6,35,M,1014.7837118416727,8232,True,PART_A,6,8.0,0.0,0.2797112353835603,0.21477990169862007,0.14117820073078766,1.3536481832603309,0.0014763137237793415,0.021365335670304412,0.20167868641866907,461.80026563621607,2644.0,,,2783.5605084660415,18100.0,0.22150352937007528,0.14699693636220257,1.3536481832603309,0.0015561772174892332,0.01932364615422156,0.20167868641866907,0.012662367486614498,0.014679558503569586,0.20167868641866907,-0.011312995191377942,0.012570276298096449,-0.15125901481400092,5948.0,3080.0,6558.0,965.7573064542117,857.8152674944113,959.987934517407,0.19464700000375743,0.29998386054460036,0.19860020369903333,57.0,0.6588391670358883,19.0,313.05263157894734,841.0,"[336, 420, 684, 463, 164, 113, 128, 336, 424, 841, 177, 307, 260, 413, 96, 324, 148, 194, 120]",19.0,1.0,,19.729457197963484,1293.923800206021,830.5555555555555,651.0,,0.013126715485861919,0.01692177328382088,0.20167868641866907,-0.011504249768651437,0.014538216872998241,-0.15125901481400092,800.0,2254.0,191.9017578943529,361.08168831110186,0.2039070673982905,0.2567852898362431,0.20985649885793187,23.0,0.7677119628339141,8.0,330.5,684.0,"[336, 420, 684, 463, 164, 113, 128, 336]",,14.396914496306772,945.0359658860505,804.5714285714286,81.0
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_7,35,M,0.0,11184,False,PART_B,7,,,0.2797112353835603,,,,,,,,,CUT_CRITERIA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_8,35,M,0.0,19549,False,PART_A,8,,,0.2797112353835603,,,,,,,,,UNKNOWN_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5df915f3-cc1a-4469-9a5c-93206bd4954f,DATAPRUEBAS_9,35,M,0.0,3599,False,PART_B,9,,,0.2797112353835603,,,,,,,,,CUT_CRITERIA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
